feature,center,sigma,lcl,ucl,mr_bar,mr_ucl,degenerate
0,3012.18,66.9097,2811.45,3212.91,77.3416,252.675,False
1,2498.72,63.7518,2307.46,2689.98,86.0906,281.258,False
2,2200.2,29.7178,2111.05,2289.35,28.4398,92.9127,False
3,1281.79,387.636,118.878,2444.69,351.197,1147.36,False
6,101.851,4.18834,89.2855,114.416,4.3223,14.121,False
7,0.1223,0.00207564,0.116073,0.128527,0.00164769,0.00538301,False
8,1.4675,0.074723,1.24333,1.69167,0.069628,0.227475,False
9,-0.0013,0.0143812,-0.0444437,0.0418437,0.0157664,0.0515087,False
10,0.0004,0.00845082,-0.0249525,0.0257525,0.00938907,0.0306741,False
11,0.9655,0.0106747,0.933476,0.997524,0.00983631,0.0321352,False
12,199.61,2.54637,191.971,207.249,2.66113,8.69393,False
14,8.6805,2.88217,0.0339768,17.327,2.67203,8.72953,False
15,411.37,9.47678,382.939,439.8,10.5936,34.6095,False
17,0.9725,0.00681996,0.95204,0.99296,0.00743196,0.0242802,False
18,189.708,2.5778,181.975,197.441,2.64237,8.63263,False
19,12.499,0.0578214,12.3255,12.6725,0.077578,0.253447,False
20,1.4063,0.0134917,1.36583,1.44677,0.0162334,0.0530345,False
21,-5537,312.458,-6474.37,-4599.63,532.167,1738.59,False
22,2684,173.094,2164.72,3203.28,250.255,817.583,False
23,-3856.25,803.199,-6265.85,-1446.65,1437.2,4695.34,False
24,-35.25,2177.2,-6566.84,6496.34,2954.78,9653.26,False
26,1.9855,0.0333585,1.88542,2.08558,0.0909574,0.297158,False
27,7.263,0.135658,6.85603,7.66997,0.929476,3.0366,False
28,68.6778,2.88292,60.0291,77.3265,2.94993,9.63743,False
29,2.4222,0.411866,1.1866,3.6578,0.428099,1.3986,False
30,0.1891,0.0317276,0.0939171,0.284283,0.0330466,0.107963,False
31,3.4362,0.116088,3.08794,3.78446,0.418747,1.36805,False
32,85.2227,0.847009,82.6817,87.7637,1.37969,4.50744,False
33,8.7698,0.314311,7.82687,9.71273,0.678038,2.21515,False
35,64.1615,0.228913,63.4748,64.8482,1.0323,3.37252,False
36,49.6127,0.202227,49.006,50.2194,0.568495,1.85727,False
39,118.373,0.589778,116.604,120.143,1.16372,3.80187,False
40,77.92,3.27655,68.0904,87.7496,19.5948,64.0161,False
41,3.128,0.619727,1.26882,4.98718,1.29516,4.2313,False
43,353.38,4.95455,338.516,368.243,5.55033,18.1329,False
44,10.0421,0.171166,9.5286,10.5556,0.171483,0.560234,False
45,135.114,7.95882,111.238,158.991,7.75739,25.3434,False
46,731.124,12.0006,695.122,767.126,12.0637,39.4121,False
47,1.25695,0.20282,0.648491,1.86541,0.195085,0.637341,False
48,140.254,4.63246,126.357,154.151,4.71671,15.4095,False
50,630.357,8.84779,603.814,656.901,8.52866,27.8631,False
51,183.45,64.3609,-9.63273,376.533,57.6005,188.181,False
53,4.596,0.0311346,4.5026,4.6894,0.0349126,0.114059,False
54,4.844,0.037065,4.73281,4.95519,0.0448781,0.146617,False
58,4.5924,0.103041,4.28328,4.90152,0.0636975,0.2081,False
59,1.29185,4.59139,-12.4823,15.066,6.56263,21.4401,False
60,353.534,5.52461,336.96,370.107,5.46724,17.8615,False
61,10.4436,0.212901,9.8049,11.0823,0.270583,0.883996,False
62,115.22,6.07466,96.996,133.444,7.36644,24.0662,False
63,13.4265,4.31963,0.467612,26.3854,5.39633,17.6298,False
64,19.7981,4.03534,7.69213,31.9042,4.88239,15.9508,False
65,26.0224,5.09629,10.7336,41.3113,6.07163,19.836,False
66,704.749,11.153,671.29,738.208,11.3459,37.0671,False
67,0.9973,0.130024,0.607228,1.38737,36.4462,119.07,False
68,147.594,3.49226,137.117,158.07,4.07715,13.3201,False
70,617.463,8.80664,591.043,643.883,9.44293,30.8501,False
71,101.986,21.0233,38.9162,165.056,28.5225,93.1831,False
75,-0.0056,0.0203116,-0.0665349,0.0553349,0.0192923,0.0630279,False
76,-0.0328,0.0338033,-0.13421,0.0686098,0.0305495,0.0998054,False
77,-0.0065,0.0271316,-0.0878947,0.0748947,0.0334375,0.10924,False
78,-0.0185,0.0468502,-0.15905,0.12205,0.0313824,0.102526,False
79,0.0012,0.0195703,-0.057511,0.059911,0.0194599,0.0635754,False
80,-0.0111,0.0394372,-0.129411,0.107211,0.035558,0.116168,False
81,-0.0196,0.0106747,-0.0516242,0.0124242,0.0162788,0.0531829,False
82,0.009,0.0315794,-0.0857381,0.103738,0.0316823,0.103506,False
83,7.4462,0.534033,5.8441,9.0483,0.581824,1.90082,False
84,0.133,0.00489258,0.118322,0.147678,0.00557924,0.0182274,False
86,2.4035,0.0375098,2.29097,2.51603,0.0398713,0.130259,False
87,0.9872,0.0044478,0.973857,1.00054,0.0106852,0.0349084,False
88,1810.43,47.9569,1666.56,1954.3,55.9973,182.943,False
89,0.1923,0.0189773,0.135368,0.249232,0.0258136,0.0843331,False
90,8818.97,363.86,7727.39,9910.55,422.777,1381.21,False
91,0,0.0616762,-0.185028,0.185028,0.0797493,0.260541,False
92,0.0004,0.00237216,-0.00671648,0.00751648,0.0031624,0.0103316,False
93,-0.0003,0.00207564,-0.00652692,0.00592692,0.00302358,0.00987805,False
95,0,0.00014826,-0.00044478,0.00044478,8.35637e-05,0.000273003,False
96,0.0066,0.153746,-0.454637,0.467837,0.215978,0.705601,False
98,0,0.288069,-0.864208,0.864208,0.427365,1.3962,False
100,0,0.00029652,-0.00088956,0.00088956,0.000356144,0.00116352,False
101,0,0.00014826,-0.00044478,0.00044478,0.000210445,0.000687525,False
102,0,0.0475915,-0.142774,0.142774,0.0610732,0.199526,False
103,-0.0098,0.0029652,-0.0186956,-0.0009044,0.00235421,0.00769121,False
104,0,0.00059304,-0.00177912,0.00177912,0.000779403,0.00254631,False
107,0,0.0750196,-0.225059,0.225059,0.0926316,0.302628,False
108,-0.0118,0.0766504,-0.241751,0.218151,0.0940025,0.307106,False
112,0.46295,0.00541149,0.446716,0.479184,0.0146582,0.0478884,False
113,0.9457,0.0105265,0.914121,0.977279,0.0128217,0.0418885,False
115,749.388,40.2053,628.772,870.004,52.4155,171.242,False
118,0.599,0.0066717,0.578985,0.619015,0.00718639,0.0234779,False
120,6.3136,0.0942934,6.03072,6.59648,0.120678,0.394256,False
125,1.097,0.216904,0.446287,1.74771,0.16741,0.54693,False
