feature,degenerate,ooc_p1,ewma_p1,miss_p1,ooc_p2,ewma_p2,miss_p2,ooc_tail,ewma_tail,miss_tail,delta,ewma_delta
0,False,0.0153492,0.013751,0.00458365,0.0426357,0.0348837,0,0.0740741,0.0740741,0,0.0272865,0.0211328
1,False,0.0460829,0.0320856,0.00534759,0.0271318,0.0193798,0,0,0,0,-0.0189512,-0.0127057
2,False,0.00844854,0.0580596,0.00534759,0.00398406,0.0232558,0.0271318,0,0,0,-0.00446448,-0.0348038
3,False,0.00614439,0.109244,0.00534759,0.123506,0.228682,0.0271318,0.333333,0.555556,0,0.117362,0.119438
6,False,0.0376344,0.145149,0.00534759,0.250996,0.282946,0.0271318,0.555556,0.518519,0,0.213362,0.137797
7,False,0.00307456,0.0336134,0.00611154,0.0311284,0.228682,0.00387597,0,0.481481,0,0.0280538,0.195069
8,False,0.00152788,0.012987,0,0.0078125,0.333333,0.00775194,0,0.851852,0.0740741,0.00628462,0.320346
9,False,0.00611154,0.0168067,0,0.03125,0.0658915,0.00775194,0,0,0.0740741,0.0251385,0.0490848
10,False,0.0152788,0.0351413,0,0.015625,0.0775194,0.00775194,0,0,0.0740741,0.000346161,0.0423781
11,False,0.00381971,0.0679908,0,0,0,0.00775194,0,0,0.0740741,-0.00381971,-0.0679908
12,False,0.00763942,0.0313216,0,0.0078125,0.100775,0.00775194,0,0,0.0740741,0.000173081,0.0694536
14,False,0.00381971,0.0381971,0,0.00392157,0.232558,0.0116279,0,0,0.111111,0.000101859,0.194361
15,False,0.00381971,0.0206264,0,0.00784314,0.108527,0.0116279,0,0,0.111111,0.00402343,0.0879007
17,False,0.00534759,0.0771581,0,0,0,0.0116279,0,0,0.111111,-0.00534759,-0.0771581
18,False,0.00687548,0.026738,0,0.00784314,0.0891473,0.0116279,0,0,0.111111,0.00096766,0.0624093
19,False,0.0192456,0.0863254,0.00763942,0.0813953,0.306202,0,0,0,0,0.0621498,0.219876
20,False,0.0145149,0.0297937,0,0.0155039,0.0193798,0,0,0,0,0.000988979,-0.0104139
