run_id,run_order,design_row,is_center,is_replicate,replicate,s060,s022,s461,s060_coded,s022_coded,s461_coded,simulated_failures,n_trials,expected_failures_from_p_cal,expected_failure_rate_from_p_cal,simulated_passes,simulated_failure_rate
doe_010,1,10,True,False,1,0.94725,-5523.25,26.16785,0.0,0.0,0.0,49,1309,60.95360510761525,0.046565015361050614,1260,0.0374331550802139
doe_011,2,11,True,False,1,0.94725,-5523.25,26.16785,0.0,0.0,0.0,61,1309,60.95360510761525,0.046565015361050614,1248,0.04660045836516425
doe_005,3,5,False,False,1,-4.4326300000000005,-6413.4,46.29105,-1.0,-1.0,1.0,35,1309,41.409983048022944,0.03163482280215656,1274,0.026737967914438502
doe_003,4,3,False,False,1,-4.4326300000000005,-5196.15,15.48685,-1.0,1.0,-1.0,47,1309,42.294171938400794,0.03231029177876302,1262,0.03590527119938885
doe_007,5,7,False,False,1,-4.4326300000000005,-5196.15,46.29105,-1.0,1.0,1.0,62,1309,53.04420217481618,0.04052269073706354,1247,0.04736440030557677
doe_004,6,4,False,False,1,15.870080000000014,-5196.15,15.48685,1.0,1.0,-1.0,68,1309,74.97613070291047,0.057277410773804785,1241,0.05194805194805195
doe_002,7,2,False,False,1,15.870080000000014,-6413.4,15.48685,1.0,-1.0,-1.0,54,1309,54.950615997458094,0.041979080211961874,1255,0.04125286478227655
doe_008,8,8,False,False,1,15.870080000000014,-5196.15,46.29105,1.0,1.0,1.0,92,1309,102.55985419483464,0.07834977402202799,1217,0.07028265851795264
doe_001,9,1,False,False,1,-4.4326300000000005,-6413.4,15.48685,-1.0,-1.0,-1.0,38,1309,35.428489641882805,0.027065309122905123,1271,0.029029793735676088
doe_006,10,6,False,False,1,15.870080000000014,-6413.4,46.29105,1.0,-1.0,1.0,72,1309,71.30876232094407,0.05447575425587782,1237,0.05500381970970206
doe_009,11,9,True,False,1,0.94725,-5523.25,26.16785,0.0,0.0,0.0,61,1309,60.95360510761525,0.046565015361050614,1248,0.04660045836516425
