rate,n,x,lcl,ucl,p0
0.2,50,49,0,0.171127,0.0658794
0.14,50,99,0,0.171127,0.0658794
0.04,50,149,0,0.171127,0.0658794
0.2,50,199,0,0.171127,0.0658794
0.2,50,249,0,0.171127,0.0658794
0.1,50,299,0,0.171127,0.0658794
0.12,50,349,0,0.171127,0.0658794
0.08,50,399,0,0.171127,0.0658794
0.08,50,449,0,0.171127,0.0658794
0.02,50,499,0,0.171127,0.0658794
0.04,50,549,0,0.171127,0.0658794
0.04,50,599,0,0.171127,0.0658794
0.06,50,649,0,0.171127,0.0658794
0,50,699,0,0.171127,0.0658794
0.02,50,749,0,0.171127,0.0658794
0.04,50,799,0,0.171127,0.0658794
0.04,50,849,0,0.171127,0.0658794
0.02,50,899,0,0.171127,0.0658794
0.08,50,949,0,0.171127,0.0658794
0,50,999,0,0.171127,0.0658794
0.02,50,1049,0,0.171127,0.0658794
0.02,50,1099,0,0.171127,0.0658794
0.02,50,1149,0,0.171127,0.0658794
0.06,50,1199,0,0.171127,0.0658794
0.1,50,1249,0,0.171127,0.0658794
0.02,50,1299,0,0.171127,0.0658794
0.18,50,1349,0,0.171127,0.0658794
0.06,50,1399,0,0.171127,0.0658794
0.06,50,1449,0,0.171127,0.0658794
0,50,1499,0,0.171127,0.0658794
0.02,50,1549,0,0.171127,0.0658794
0.02,50,1599,0,0.171127,0.0658794
0.06,50,1649,0,0.171127,0.0658794
0.08,50,1699,0,0.171127,0.0658794
0.06,50,1749,0,0.171127,0.0658794
0.1,50,1799,0,0.171127,0.0658794
0.1,50,1849,0,0.171127,0.0658794
0.0588235,17,1866,0,0.246378,0.0658794
