feature,center,sigma,lcl,ucl,mr_bar,mr_ucl,degenerate
s001,3011.84,67.3293,2809.85,3213.83,80.8558,264.156,False
s002,2499.4,63.0846,2310.15,2688.66,84.954,277.545,False
s003,2201.07,26.3245,2122.09,2280.04,26.6857,87.1823,False
s004,1285.21,364.698,191.121,2379.31,373.218,1219.3,False
s005,1.3168,0.362199,0.230202,2.4034,5.9521,19.4455,False
s006,100,0,100,100,0,0,True
s007,101.567,4.84306,87.0375,116.096,5.3083,17.3422,False
s008,0.1224,0.00207564,0.116173,0.128627,0.0025922,0.00846871,False
s009,1.4617,0.0784295,1.22641,1.69699,0.0729064,0.238185,False
s010,-0.0013,0.0140847,-0.0435541,0.0409541,0.0156769,0.0512164,False
s011,0.0004,0.00859908,-0.0253972,0.0261972,0.00933563,0.0304995,False
s012,0.9659,0.0096369,0.936989,0.994811,0.00945371,0.0308853,False
s013,199.537,2.73866,191.321,207.753,2.70803,8.84714,False
s014,0,0,0,0,0,0,True
s015,8.99045,2.77513,0.665058,17.3158,2.56681,8.38575,False
s016,412.189,9.54,383.569,440.809,10.3088,33.679,False
s017,9.8537,0.415647,8.60676,11.1006,0.565447,1.84732,False
s018,0.9726,0.00622692,0.953919,0.991281,0.00710353,0.0232072,False
s019,189.677,2.79218,181.301,198.054,2.70365,8.83281,False
s020,12.4996,0.0644931,12.3061,12.6931,0.103436,0.337925,False
s021,1.4063,0.0137882,1.36494,1.44766,0.0167813,0.0548244,False
s022,-5524.25,304.304,-6437.16,-4611.34,514.366,1680.43,False
s023,2664.5,157.897,2190.81,3138.19,240.28,784.995,False
s024,-3819,758.35,-6094.05,-1543.95,1401.98,4580.26,False
s025,-74,2117.52,-6426.57,6278.57,2830.11,9245.97,False
s026,1.283,0.0385476,1.16736,1.39864,0.132553,0.433052,False
s027,1.986,0.0318759,1.89037,2.08163,0.0972161,0.317605,False
s028,7.2645,0.130469,6.87309,7.65591,0.886563,2.8964,False
s029,69.1851,3.28386,59.3335,79.0366,2.88146,9.41374,False
s030,2.3778,0.411866,1.1422,3.6134,0.423366,1.38314,False
s031,0.1866,0.0335068,0.0860797,0.28712,0.0331489,0.108297,False
s032,3.431,0.120091,3.07073,3.79127,0.418576,1.36749,False
s033,85.1404,0.912392,82.4032,87.8776,1.37067,4.47799,False
s034,8.77395,0.332028,7.77787,9.77003,0.65218,2.13067,False
s035,50.3964,0.23855,49.6807,51.1121,0.527088,1.722,False
s036,64.1658,0.229951,63.4759,64.8557,0.91771,2.99816,False
s037,49.6036,0.23855,48.8879,50.3193,0.527054,1.72188,False
s038,66.2335,0.215225,65.5878,66.8791,0.269934,0.881875,False
s039,86.8196,0.30334,85.9096,87.7296,0.365804,1.19508,False
s040,118.398,0.641966,116.472,120.324,1.19408,3.90106,False
s041,78.29,3.14311,68.8607,87.7193,18.3432,59.9271,False
s042,3.074,0.59897,1.27709,4.87091,1.17931,3.85279,False
s043,70,0,70,70,0,0,True
s044,353.6,5.53077,337.008,370.193,6.18687,20.2125,False
s045,10.0338,0.16998,9.52381,10.5437,0.170278,0.556299,False
s046,136.382,8.46439,110.989,161.775,7.53875,24.6291,False
s047,733.438,12.9925,694.46,772.415,11.675,38.1421,False
s048,1.24905,0.205562,0.632363,1.86574,0.197701,0.64589,False
s049,139.988,4.70385,125.877,154.1,4.6845,15.3043,False
s050,1,0,1,1,0,0,True
s051,631.319,9.12815,603.935,658.704,8.57991,28.0306,False
s052,182.56,62.9326,-6.23747,371.358,59.6196,194.777,False
s053,0,0,0,0,0,0,True
s054,4.596,0.0311346,4.5026,4.6894,0.0407173,0.133024,False
s055,4.843,0.0385476,4.72736,4.95864,0.050178,0.163932,False
s056,2854,28.1694,2769.49,2938.51,24.6658,80.5831,False
