feature,n_unique,dom_frac,cv,missing_rate,n_deviant,dev_fail_rate,enrichment,verdict
s001,1520,0.0012812299807815502,0.02442293487368341,0.0038289725590299937,1559,0.06670942912123155,1.005131494547787,keep
s002,1504,0.0019230769230769232,0.032216558504806286,0.004467134652201659,1557,0.06551059730250482,0.9870683266637025,keep
s003,507,0.0077269800386349004,0.013411732535795402,0.008934269304403318,1541,0.06683971447112265,1.0070945440023962,keep
s004,518,0.00643915003219575,0.3163126850731659,0.008934269304403318,1543,0.06675307841866494,1.005789171942769,keep
s005,503,0.00643915003219575,13.427534837119785,0.008934269304403318,1543,0.06675307841866494,1.005789171942769,correlated: |r| > 0.95; dropped the more-missing member of the pair
s006,1,1.0,0.0,0.008934269304403318,0,,,constant: n_unique == 1
s007,510,0.00643915003219575,0.06168563339117743,0.008934269304403318,1543,0.06675307841866494,1.005789171942769,keep
s008,89,0.03530166880616174,0.07356105382597368,0.00574345883854499,1503,0.0665335994677312,1.0024822150570654,keep
s009,1208,0.003194888178913738,0.05051507156274303,0.0012763241863433313,1560,0.06474358974358975,0.9755115877712033,keep
s010,568,0.006389776357827476,17.973588057593425,0.0012763241863433313,1555,0.06623794212218649,0.9980274548602522,keep
s011,392,0.0076677316293929714,63.82198348831225,0.0012763241863433313,1553,0.0669671603348358,1.009014810045074,keep
s012,378,0.008945686900958467,0.01291234084376268,0.0012763241863433313,1551,0.0670535138620245,1.0103159252095424,keep
s013,1547,0.0012779552715654952,0.01628989622766883,0.0012763241863433313,1563,0.06653870761356366,1.0025591810620602,keep
s014,1,1.0,,0.0019144862795149968,0,,,constant: n_unique == 1
s015,1555,0.0012787723785166241,0.31054752974433203,0.0019144862795149968,1562,0.06594110115236876,0.9935548606323255,keep
s016,1561,0.0012787723785166241,0.0416888809765681,0.0019144862795149968,1562,0.06658130601792574,1.003201024327785,keep
s017,1477,0.0019181585677749361,0.2426284823667793,0.0019144862795149968,1561,0.06662395900064061,1.0038436899423446,correlated: |r| > 0.95; dropped the more-missing member of the pair
s018,281,0.012148337595907928,0.012416993244740531,0.0019144862795149968,1545,0.06601941747572816,0.9947348767737119,keep
s019,1548,0.0019181585677749361,0.014633409316712444,0.0019144862795149968,1561,0.06662395900064061,1.0038436899423446,keep
s020,361,0.012845215157353885,0.0174637181922964,0.006381620931716656,1537,0.06376057254391672,0.960700165156899,keep
s021,552,0.007657945118059987,0.011911947594154515,0.0,1555,0.06688102893890675,1.0077170418006431,keep
s022,1295,0.0025559105431309905,0.11156608486837223,0.0012763241863433313,1561,0.06598334401024984,0.9941913467698222,keep
s023,1176,0.0025559105431309905,0.10946910249901307,0.0012763241863433313,1561,0.06598334401024984,0.9941913467698222,keep
s024,1480,0.0025559105431309905,0.36259943892463087,0.0012763241863433313,1561,0.06598334401024984,0.9941913467698222,keep
s025,1494,0.0019169329073482429,9.721059070330968,0.0012763241863433313,1562,0.06594110115236876,0.9935548606323255,keep
s026,704,0.0076677316293929714,0.1475277263821381,0.0012763241863433313,1553,0.06632324533161622,0.9993127445638714,correlated: |r| > 0.95; dropped the more-missing member of the pair
s027,624,0.007028753993610224,0.09775461205590225,0.0012763241863433313,1554,0.06563706563706563,0.9889738639738639,keep
s028,1148,0.003194888178913738,0.18742566602504673,0.0012763241863433313,1560,0.06474358974358975,0.9755115877712033,keep
s029,869,0.005111821086261981,0.04980149969457371,0.0012763241863433313,1557,0.06615285806037251,0.9967454671211896,keep
s030,188,0.01853035143769968,0.17272193557020302,0.0012763241863433313,1536,0.06575520833333333,0.9907539563301282,keep
s031,842,0.0044728434504792336,0.17888866926517147,0.0012763241863433313,1558,0.06482670089858793,0.9767638491162239,keep
s032,1275,0.003194888178913738,0.14573760743552516,0.0012763241863433313,1560,0.06538461538461539,0.9851701183431953,keep
s033,338,0.004469987228607918,0.023747472668345544,0.0006381620931716656,1559,0.06606799230275817,0.9954667686386737,keep
s034,330,0.008939974457215836,0.15004626923156372,0.0006381620931716656,1552,0.06701030927835051,1.0096649484536082,keep
s035,329,0.008301404853128991,0.023379922622723568,0.0006381620931716656,1553,0.0669671603348358,1.009014810045074,correlated: |r| > 0.95; dropped the more-missing member of the pair
s036,331,0.008301404853128991,0.039884086506454704,0.0006381620931716656,1553,0.06503541532517708,0.9799086136014662,keep
s037,330,0.008301404853128991,0.023931238632199224,0.0006381620931716656,1553,0.0669671603348358,1.009014810045074,keep
s038,325,0.008939974457215836,0.0045927959750007175,0.0006381620931716656,1552,0.0663659793814433,0.9999566316415543,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s039,329,0.008301404853128991,0.005144785757420981,0.0006381620931716656,1553,0.06632324533161622,0.9993127445638714,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s040,333,0.008301404853128991,0.015227735454366873,0.0006381620931716656,1553,0.06503541532517708,0.9799086136014662,keep
s041,291,0.013609850939727802,0.3543623468192549,0.015315890236119975,1522,0.0683311432325887,1.0295663600525624,keep
s042,315,0.009073233959818535,0.7039601578600184,0.015315890236119975,1529,0.06801831262262917,1.02485284499673,keep
s043,1,1.0,0.0,0.0006381620931716656,0,,,constant: n_unique == 1
s044,1523,0.001277139208173691,0.017535932444680026,0.0006381620931716656,1564,0.06649616368286446,1.001918158567775,keep
s045,1376,0.0031928480204342275,0.017449378520621252,0.0006381620931716656,1561,0.06662395900064061,1.0038436899423446,keep
s046,1520,0.001277139208173691,0.057401432056199526,0.0006381620931716656,1564,0.06585677749360613,0.9922843301200078,keep
s047,1562,0.001277139208173691,0.016588204598826966,0.0006381620931716656,1564,0.06649616368286446,1.001918158567775,keep
s048,1341,0.002554278416347382,0.1609878183842376,0.0006381620931716656,1562,0.06594110115236876,0.9935548606323255,keep
s049,1486,0.0019157088122605363,0.03232248910646329,0.0006381620931716656,1563,0.06653870761356366,1.0025591810620602,keep
s050,1,1.0,0.0,0.0006381620931716656,0,,,constant: n_unique == 1
s051,1520,0.001277139208173691,0.013671693155484891,0.0006381620931716656,1564,0.06649616368286446,1.001918158567775,keep
s052,1562,0.001277139208173691,0.3870202299304045,0.0006381620931716656,1564,0.06649616368286446,1.001918158567775,keep
s053,1,1.0,,0.0006381620931716656,0,,,constant: n_unique == 1
s054,153,0.03134996801023673,0.011963850344388361,0.0025526483726866626,1514,0.06605019815059446,0.9951986586728993,keep
s055,169,0.021753039027511197,0.01231381482041008,0.0025526483726866626,1529,0.06409417920209287,0.9657267193238417,keep
s056,107,0.026231605886116442,0.009015324115750447,0.0025526483726866626,1522,0.06701708278580815,1.0097670069746285,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s057,187,0.022392834293026232,0.007328811367737525,0.0025526483726866626,1528,0.06413612565445026,0.9663587394281111,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
s058,159,0.027511196417146513,0.004399374246999722,0.0025526483726866626,1520,0.06578947368421052,0.9912702429149798,near-zero variance: dom_frac > 0.99 or cv < 0.01 or n_unique < 5; deviants not enriched (rescue needs n_deviant >= 5 and enrichment >= 2.0)
