feature,degenerate,ooc_p1,ewma_p1,miss_p1,ooc_p2,ewma_p2,miss_p2,ooc_tail,ewma_tail,miss_tail,delta,ewma_delta
s001,False,0.0199626,0.0167806,0.00372902,0.0234375,0.0232558,0.00775194,0,0,0,0.00347493,0.0064752
s002,False,0.0436954,0.0335612,0.00435053,0.0511811,0.00387597,0.0155039,0.111111,0,0,0.00748572,-0.0296852
s003,False,0.0131661,0.0857676,0.00870106,0.0232558,0.0232558,0,0.037037,0.111111,0,0.0100897,-0.0625117
s004,False,0.0269592,0.142324,0.00870106,0.0271318,0.0736434,0,0,0,0,0.000172535,-0.068681
s005,False,0.0175549,0.123058,0.00870106,0.139535,0.166667,0,0,0,0,0.12198,0.0436089
s006,True,,,,,,,,,,,
s007,False,0.0526646,0.1156,0.00870106,0.0542636,0.0232558,0,0,0,0,0.00159899,-0.0923439
s008,False,0.006875,0.0577999,0.00559354,0.00387597,0.0503876,0,0,0,0,-0.00299903,-0.00741228
s009,False,0.00186683,0.0528278,0.00124301,0.00387597,0.00387597,0,0,0,0,0.00200914,-0.0489519
s010,False,0.0118233,0.0273462,0.00124301,0.0155039,0,0,0,0,0,0.0036806,-0.0273462
s011,False,0.0143124,0.0379117,0.00124301,0.0116279,0,0,0.037037,0,0,-0.00268448,-0.0379117
s012,False,0.00435594,0.0926041,0.00124301,0.00387597,0.0310078,0,0,0,0,-0.000479974,-0.0615963
s013,False,0.00684505,0.0316967,0.00124301,0.00775194,0.0232558,0,0,0,0,0.000906885,-0.00844089
s014,True,,,,,,,,,,,
s015,False,0.00373599,0.0640149,0.00186451,0.00387597,0,0,0,0,0,0.000139979,-0.0640149
s016,False,0.00435866,0.0248602,0.00186451,0.00387597,0.0503876,0,0,0,0,-0.000482686,0.0255274
s017,False,0.0174346,0.083903,0.00186451,0.0193798,0.0930233,0,0.037037,0,0,0.00194522,0.00912021
s018,False,0.00684932,0.0882536,0.00186451,0,0.0116279,0,0,0.111111,0,-0.00684932,-0.0766257
s019,False,0.00622665,0.0254817,0.00186451,0.00775194,0.0155039,0,0,0,0,0.00152529,-0.00997779
s020,False,0.0300188,0.0975761,0.00621504,0.027451,0.0116279,0.0116279,0.0740741,0,0,-0.00256778,-0.0859482
s021,False,0.0149161,0.0261032,0,0.00775194,0.0193798,0,0,0,0,-0.00716416,-0.00672332
s022,False,0.108276,0.309509,0.00124301,0.124031,0.182171,0,0.148148,0.259259,0,0.0157547,-0.127338
s023,False,0.044804,0.322561,0.00124301,0.0426357,0.124031,0,0.0740741,0.259259,0,-0.00216832,-0.19853
s024,False,0.106409,0.0807955,0.00124301,0.120155,0.0697674,0,0.0740741,0.148148,0,0.0137456,-0.0110281
s025,False,0.0547604,0.0590429,0.00124301,0.0503876,0.0348837,0,0.0740741,0.037037,0,-0.00437283,-0.0241592
s026,False,0.255756,0.569919,0.00124301,0.290698,0.841085,0,0.296296,0.962963,0,0.0349416,0.271166
s027,False,0.18295,0.427595,0.00124301,0.22093,0.631783,0,0.259259,0.925926,0,0.0379806,0.204188
s028,False,0.256378,0.675575,0.00124301,0.294574,0.976744,0,0.296296,1,0,0.0381953,0.301169
s029,False,0,0.203853,0.00124301,0,0.0116279,0,0,0.0740741,0,0,-0.192225
s030,False,0.00622278,0.0366687,0.00124301,0,0.00387597,0,0,0,0,-0.00622278,-0.0327928
s031,False,0.00497822,0.0397763,0.00124301,0,0,0,0,0,0,-0.00497822,-0.0397763
