feature,t,value,mr,ewma,ewma_lcl,ewma_ucl,r1,r2,r3,r4
s130,0,-0.0473,,-0.12298,-0.773191,0.489391,False,False,False,False
s130,1,-0.0946,0.0473,-0.117304,-0.773191,0.489391,False,False,False,False
s130,2,-0.1892,0.0946,-0.131683,-0.773191,0.489391,False,False,False,False
s130,3,0.2838,0.473,-0.0485866,-0.773191,0.489391,False,False,False,False
s130,4,-0.5677,0.8515,-0.152409,-0.773191,0.489391,False,False,False,False
s130,5,-0.0946,0.4731,-0.140847,-0.773191,0.489391,False,False,False,False
s130,6,-0.4731,0.3785,-0.207298,-0.773191,0.489391,False,False,False,False
s130,7,0.7096,1.1827,-0.0239183,-0.773191,0.489391,False,False,False,False
s130,8,0.7096,0,0.122785,-0.773191,0.489391,False,False,False,False
s130,9,0.7096,0,0.240148,-0.773191,0.489391,False,False,False,False
s130,10,-0.5677,1.2773,0.0785786,-0.773191,0.489391,False,False,False,False
s130,11,-0.5677,0,-0.0506771,-0.773191,0.489391,False,False,False,False
s130,12,-0.4731,0.0946,-0.135162,-0.773191,0.489391,False,False,False,False
s130,13,0,0.4731,-0.108129,-0.773191,0.489391,False,False,False,False
s130,14,0,0,-0.0865035,-0.773191,0.489391,False,False,False,False
s130,15,-0.0473,0.0473,-0.0786628,-0.773191,0.489391,False,False,False,False
s130,16,-0.0473,0,-0.0723902,-0.773191,0.489391,False,False,False,False
s130,17,-0.0473,0,-0.0673722,-0.773191,0.489391,False,False,False,False
s130,18,-0.4258,0.3785,-0.139058,-0.773191,0.489391,False,False,False,False
s130,19,-0.4258,0,-0.196406,-0.773191,0.489391,False,False,False,False
s130,20,-0.4258,0,-0.242285,-0.773191,0.489391,False,False,False,False
s130,21,-0.4258,0,-0.278988,-0.773191,0.489391,False,False,False,False
s130,22,0.0473,0.4731,-0.21373,-0.773191,0.489391,False,False,False,False
s130,23,-0.4731,0.5204,-0.265604,-0.773191,0.489391,False,False,False,False
s130,24,0.0946,0.5677,-0.193563,-0.773191,0.489391,False,False,False,False
s130,25,-0.615,0.7096,-0.277851,-0.773191,0.489391,False,False,False,False
s130,26,-0.615,0,-0.345281,-0.773191,0.489391,False,False,False,False
s130,27,-0.0473,0.5677,-0.285684,-0.773191,0.489391,False,False,False,False
s130,28,-0.615,0.5677,-0.351548,-0.773191,0.489391,False,False,False,False
s130,29,-0.0473,0.5677,-0.290698,-0.773191,0.489391,False,False,False,False
s130,30,-0.0473,0,-0.242018,-0.773191,0.489391,False,False,False,False
s130,31,-0.615,0.5677,-0.316615,-0.773191,0.489391,False,False,False,False
s130,32,0.0946,0.7096,-0.234372,-0.773191,0.489391,False,False,False,False
s130,33,0.0946,0,-0.168577,-0.773191,0.489391,False,False,False,False
s130,34,-0.0473,0.1419,-0.144322,-0.773191,0.489391,False,False,False,False
s130,35,0.0946,0.1419,-0.0965376,-0.773191,0.489391,False,False,False,False
s130,36,-0.0473,0.1419,-0.0866901,-0.773191,0.489391,False,False,False,False
s130,37,-0.0473,0,-0.078812,-0.773191,0.489391,False,False,False,False
s130,38,-0.0473,0,-0.0725096,-0.773191,0.489391,False,False,False,False
s130,39,-1.108,1.0607,-0.279608,-0.773191,0.489391,False,False,False,False
s130,40,-0.0473,1.0607,-0.233146,-0.773191,0.489391,False,False,False,False
s130,41,0.0946,0.1419,-0.167597,-0.773191,0.489391,False,False,False,False
s130,42,0.0946,0,-0.115158,-0.773191,0.489391,False,False,False,False
s130,43,-1.204,1.2986,-0.332926,-0.773191,0.489391,False,False,False,False
s130,44,-0.4258,0.7782,-0.351501,-0.773191,0.489391,False,False,False,False
s130,45,-0.4258,0,-0.366361,-0.773191,0.489391,False,False,False,False
s130,46,0.0946,0.5204,-0.274169,-0.773191,0.489391,False,False,False,False
s130,47,0.0946,0,-0.200415,-0.773191,0.489391,False,False,False,False
s130,48,-1.108,1.2026,-0.381932,-0.773191,0.489391,False,False,False,False
s130,49,-0.4258,0.6822,-0.390705,-0.773191,0.489391,False,False,False,False
s130,50,-0.4258,0,-0.397724,-0.773191,0.489391,False,False,False,False
s130,51,-0.1419,0.2839,-0.34656,-0.773191,0.489391,False,False,False,False
s130,52,-0.1419,0,-0.305628,-0.773191,0.489391,False,False,False,False
s130,53,0.0946,0.2365,-0.225582,-0.773191,0.489391,False,False,False,False
s130,54,0.0946,0,-0.161546,-0.773191,0.489391,False,False,False,False
s130,55,0.0946,0,-0.110317,-0.773191,0.489391,False,False,False,False
s130,56,0.0473,0.0473,-0.0787932,-0.773191,0.489391,False,False,False,False
s130,57,-0.1419,0.1892,-0.0914146,-0.773191,0.489391,False,False,False,False
s130,58,-0.615,0.4731,-0.196132,-0.773191,0.489391,False,False,False,False
s130,59,0.1892,0.8042,-0.119065,-0.773191,0.489391,False,False,False,False
s130,60,0,0.1892,-0.0952523,-0.773191,0.489391,False,False,False,False
s130,61,0.0473,0.0473,-0.0667418,-0.773191,0.489391,False,False,False,False
s130,62,0.0473,0,-0.0439335,-0.773191,0.489391,False,False,False,False
s130,63,0.3311,0.2838,0.0310732,-0.773191,0.489391,False,False,False,False
s130,64,0,0.3311,0.0248586,-0.773191,0.489391,False,False,False,False
s130,65,0,0,0.0198869,-0.773191,0.489391,False,False,False,False
s130,66,0,0,0.0159095,-0.773191,0.489391,False,False,False,True
s130,67,0,0,0.0127276,-0.773191,0.489391,False,False,False,True
s130,68,0,0,0.0101821,-0.773191,0.489391,False,False,False,True
s130,69,0,0,0.00814566,-0.773191,0.489391,False,False,False,True
s130,70,0,0,0.00651653,-0.773191,0.489391,False,False,False,True
s130,71,-0.3311,0.3311,-0.0610068,-0.773191,0.489391,False,False,False,False
s130,72,0.0473,0.3784,-0.0393454,-0.773191,0.489391,False,False,False,False
s130,73,-0.3311,0.3784,-0.0976963,-0.773191,0.489391,False,False,False,False
s130,74,0.8042,1.1353,0.0826829,-0.773191,0.489391,False,False,False,False
s130,75,0.0473,0.7569,0.0756063,-0.773191,0.489391,False,False,False,False
s130,76,0.8042,0.7569,0.221325,-0.773191,0.489391,False,False,False,False
s130,77,0.8042,0,0.3379,-0.773191,0.489391,False,False,False,False
s130,78,0.0473,0.7569,0.27978,-0.773191,0.489391,False,False,False,False
s130,79,-0.3311,0.3784,0.157604,-0.773191,0.489391,False,False,False,False
s130,80,0.8042,1.1353,0.286923,-0.773191,0.489391,False,False,False,False
s130,81,-0.4731,1.2773,0.134919,-0.773191,0.489391,False,False,False,False
s130,82,0,0.4731,0.107935,-0.773191,0.489391,False,False,False,False
s130,83,-0.4731,0.4731,-0.00827211,-0.773191,0.489391,False,False,False,False
s130,84,0.0473,0.5204,0.00284232,-0.773191,0.489391,False,False,False,False
s130,85,-0.4731,0.5204,-0.0923461,-0.773191,0.489391,False,False,False,False
s130,86,-0.4731,0,-0.168497,-0.773191,0.489391,False,False,False,False
s130,87,0,0.4731,-0.134798,-0.773191,0.489391,False,False,False,False
s130,88,0,0,-0.107838,-0.773191,0.489391,False,False,False,False
s130,89,,,-0.107838,-0.773191,0.489391,False,False,False,False
s130,90,0,,-0.0862704,-0.773191,0.489391,False,False,False,False
s130,91,-0.3311,0.3311,-0.135236,-0.773191,0.489391,False,False,False,False
s130,92,0.0473,0.3784,-0.0987291,-0.773191,0.489391,False,False,False,False
s130,93,,,-0.0987291,-0.773191,0.489391,False,False,False,False
s130,94,0.7569,,0.0723967,-0.773191,0.489391,False,False,False,False
s130,95,,,0.0723967,-0.773191,0.489391,False,False,False,False
s130,96,0.0473,,0.0673774,-0.773191,0.489391,False,False,False,False
s130,97,0.0473,0,0.0633619,-0.773191,0.489391,False,False,False,False
s130,98,0.0473,0,0.0601495,-0.773191,0.489391,False,False,False,False
s130,99,0,0.0473,0.0481196,-0.773191,0.489391,False,False,False,False
s130,100,0.0473,0.0473,0.0479557,-0.773191,0.489391,False,False,False,False
s130,101,0.1419,0.0946,0.0667446,-0.773191,0.489391,False,False,False,False
s130,102,0.1419,0,0.0817756,-0.773191,0.489391,False,False,False,False
s130,103,0.0473,0.0946,0.0748805,-0.773191,0.489391,False,False,False,True
s130,104,0.7569,0.7096,0.211284,-0.773191,0.489391,False,False,False,True
s130,105,0,0.7569,0.169028,-0.773191,0.489391,False,False,False,True
s130,106,0.7569,0.7569,0.286602,-0.773191,0.489391,False,False,False,True
s130,107,0.7569,0,0.380662,-0.773191,0.489391,False,False,False,True
s130,108,0.7569,0,0.455909,-0.773191,0.489391,False,False,True,True
s130,109,0.0473,0.7096,0.374187,-0.773191,0.489391,False,False,False,True
s130,110,-0.1419,0.1892,0.27097,-0.773191,0.489391,False,False,False,False
s130,111,0.0473,0.1892,0.226236,-0.773191,0.489391,False,False,False,False
s130,112,0,0.0473,0.180989,-0.773191,0.489391,False,False,False,False
s130,113,-0.1419,0.1419,0.116411,-0.773191,0.489391,False,False,False,False
s130,114,0.0473,0.1892,0.102589,-0.773191,0.489391,False,False,False,False
s130,115,0,0.0473,0.082071,-0.773191,0.489391,False,False,False,False
s130,116,0.0473,0.0473,0.0751168,-0.773191,0.489391,False,False,False,False
s130,117,-0.1419,0.1892,0.0317135,-0.773191,0.489391,False,False,False,False
s130,118,0,0.1419,0.0253708,-0.773191,0.489391,False,False,False,False
s130,119,-0.3311,0.3311,-0.0459234,-0.773191,0.489391,False,False,False,False
s130,120,-0.1419,0.1892,-0.0651187,-0.773191,0.489391,False,False,False,False
s130,121,-0.1419,0,-0.080475,-0.773191,0.489391,False,False,False,False
s130,122,0.6623,0.8042,0.06808,-0.773191,0.489391,False,False,False,False
s130,123,-0.0946,0.7569,0.035544,-0.773191,0.489391,False,False,False,False
s130,124,-0.3784,0.2838,-0.0472448,-0.773191,0.489391,False,False,False,False
s130,125,0.6623,1.0407,0.0946642,-0.773191,0.489391,False,False,False,False
s130,126,0.7569,0.0946,0.227111,-0.773191,0.489391,False,False,False,False
s130,127,0.3311,0.4258,0.247909,-0.773191,0.489391,False,False,False,False
s130,128,-0.0946,0.4257,0.179407,-0.773191,0.489391,False,False,False,False
s130,129,-0.0946,0,0.124606,-0.773191,0.489391,False,False,False,False
s130,130,-0.0946,0,0.0807646,-0.773191,0.489391,False,False,False,False
s130,131,0,0.0946,0.0646117,-0.773191,0.489391,False,False,False,False
s130,132,0.6623,0.6623,0.184149,-0.773191,0.489391,False,False,False,True
s130,133,,,0.184149,-0.773191,0.489391,False,False,False,False
s130,134,-0.0473,,0.137859,-0.773191,0.489391,False,False,False,False
s130,135,0.3311,0.3784,0.176508,-0.773191,0.489391,False,False,False,False
s130,136,0.3311,0,0.207426,-0.773191,0.489391,False,False,False,False
s130,137,-0.3784,0.7095,0.0902609,-0.773191,0.489391,False,False,False,False
s130,138,0.3311,0.7095,0.138429,-0.773191,0.489391,False,False,False,False
s130,139,0.6623,0.3312,0.243203,-0.773191,0.489391,False,False,False,False
s130,140,-0.615,1.2773,0.0715624,-0.773191,0.489391,False,False,False,False
s130,141,-0.615,0,-0.0657501,-0.773191,0.489391,False,False,False,False
s130,142,0.0946,0.7096,-0.0336801,-0.773191,0.489391,False,False,False,False
s130,143,0.0946,0,-0.00802407,-0.773191,0.489391,False,False,False,False
s130,144,-0.0473,0.1419,-0.0158793,-0.773191,0.489391,False,False,False,False
s130,145,0.6623,0.7096,0.119757,-0.773191,0.489391,False,False,False,False
s130,146,0.3311,0.3312,0.162025,-0.773191,0.489391,False,False,False,False
s130,147,0.0946,0.2365,0.14854,-0.773191,0.489391,False,False,False,False
s130,148,0.1892,0.0946,0.156672,-0.773191,0.489391,False,False,False,False
s130,149,0.0946,0.0946,0.144258,-0.773191,0.489391,False,False,False,True
s130,150,0.1892,0.0946,0.153246,-0.773191,0.489391,False,False,False,True
s130,151,-0.0946,0.2838,0.103677,-0.773191,0.489391,False,False,False,True
s130,152,0.6623,0.7569,0.215402,-0.773191,0.489391,False,False,False,True
s130,153,0.0946,0.5677,0.191241,-0.773191,0.489391,False,False,False,True
s130,154,0.6623,0.5677,0.285453,-0.773191,0.489391,False,False,False,True
s130,155,0.0946,0.5677,0.247282,-0.773191,0.489391,False,False,False,True
s130,156,0.6623,0.5677,0.330286,-0.773191,0.489391,False,False,False,True
s130,157,-0.0473,0.7096,0.254769,-0.773191,0.489391,False,False,False,True
s130,158,-0.0946,0.0473,0.184895,-0.773191,0.489391,False,False,False,True
s130,159,0.1419,0.2365,0.176296,-0.773191,0.489391,False,False,False,True
s130,160,0.7569,0.615,0.292417,-0.773191,0.489391,False,False,False,True
s130,161,0.1419,0.615,0.262313,-0.773191,0.489391,False,False,False,True
s130,162,0.7569,0.615,0.361231,-0.773191,0.489391,False,False,False,True
s130,163,-0.3784,1.1353,0.213305,-0.773191,0.489391,False,False,False,False
s130,164,0.7569,1.1353,0.322024,-0.773191,0.489391,False,False,False,False
s130,165,0.7569,0,0.408999,-0.773191,0.489391,False,False,False,False
s130,166,0.2365,0.5204,0.374499,-0.773191,0.489391,False,False,False,False
s130,167,0.1419,0.0946,0.327979,-0.773191,0.489391,False,False,False,False
s130,168,0.2365,0.0946,0.309683,-0.773191,0.489391,False,False,False,False
s130,169,0,0.2365,0.247747,-0.773191,0.489391,False,False,False,False
s130,170,0,0,0.198197,-0.773191,0.489391,False,False,False,False
s130,171,0,0,0.158558,-0.773191,0.489391,False,False,False,True
s130,172,0.1419,0.1419,0.155226,-0.773191,0.489391,False,False,False,True
s130,173,0,0.1419,0.124181,-0.773191,0.489391,False,False,False,True
s130,174,-0.0946,0.0946,0.0804249,-0.773191,0.489391,False,False,False,True
s130,175,-0.0946,0,0.0454199,-0.773191,0.489391,False,False,False,True
s130,176,0,0.0946,0.0363359,-0.773191,0.489391,False,False,False,True
s130,177,0.1419,0.1419,0.0574487,-0.773191,0.489391,False,False,False,True
s130,178,-0.0946,0.2365,0.027039,-0.773191,0.489391,False,False,False,True
s130,179,0,0.0946,0.0216312,-0.773191,0.489391,False,False,False,True
s130,180,0.7569,0.7569,0.168685,-0.773191,0.489391,False,False,False,True
s130,181,0.1419,0.615,0.163328,-0.773191,0.489391,False,False,False,True
s130,182,0,0.1419,0.130662,-0.773191,0.489391,False,False,False,True
s130,183,0.0946,0.0946,0.12345,-0.773191,0.489391,False,False,False,True
s130,184,-0.0946,0.1892,0.0798399,-0.773191,0.489391,False,False,False,True
s130,185,0.1419,0.2365,0.0922519,-0.773191,0.489391,False,False,False,True
s130,186,0.2365,0.0946,0.121102,-0.773191,0.489391,False,False,False,True
s130,187,0.7569,0.5204,0.248261,-0.773191,0.489391,False,False,False,True
s130,188,0.1419,0.615,0.226989,-0.773191,0.489391,False,False,False,True
s130,189,0.1419,0,0.209971,-0.773191,0.489391,False,False,False,True
s130,190,-0.1892,0.3311,0.130137,-0.773191,0.489391,False,False,False,False
s130,191,-0.1892,0,0.0662696,-0.773191,0.489391,False,False,False,False
s130,192,-0.1892,0,0.0151756,-0.773191,0.489391,False,False,False,False
s130,193,-0.1419,0.0473,-0.0162395,-0.773191,0.489391,False,False,False,False
