rate,n,x,feature,lcl,ucl,p0
0.2,50,49,f_miss_clq14,0.247707,0.670551,0.459129
0.16,50,99,f_miss_clq14,0.247707,0.670551,0.459129
0.54,50,149,f_miss_clq14,0.247707,0.670551,0.459129
0.14,50,199,f_miss_clq14,0.247707,0.670551,0.459129
0.16,50,249,f_miss_clq14,0.247707,0.670551,0.459129
0.08,50,299,f_miss_clq14,0.247707,0.670551,0.459129
0.12,50,349,f_miss_clq14,0.247707,0.670551,0.459129
0.1,50,399,f_miss_clq14,0.247707,0.670551,0.459129
0.18,50,449,f_miss_clq14,0.247707,0.670551,0.459129
0.4,50,499,f_miss_clq14,0.247707,0.670551,0.459129
0.68,50,549,f_miss_clq14,0.247707,0.670551,0.459129
0.8,50,599,f_miss_clq14,0.247707,0.670551,0.459129
0.72,50,649,f_miss_clq14,0.247707,0.670551,0.459129
0.62,50,699,f_miss_clq14,0.247707,0.670551,0.459129
0.58,50,749,f_miss_clq14,0.247707,0.670551,0.459129
0.6,50,799,f_miss_clq14,0.247707,0.670551,0.459129
0.46,50,849,f_miss_clq14,0.247707,0.670551,0.459129
0.62,50,899,f_miss_clq14,0.247707,0.670551,0.459129
0.7,50,949,f_miss_clq14,0.247707,0.670551,0.459129
0.62,50,999,f_miss_clq14,0.247707,0.670551,0.459129
0.62,50,1049,f_miss_clq14,0.247707,0.670551,0.459129
0.72,50,1099,f_miss_clq14,0.247707,0.670551,0.459129
0.72,50,1149,f_miss_clq14,0.247707,0.670551,0.459129
0.54,50,1199,f_miss_clq14,0.247707,0.670551,0.459129
0.38,50,1249,f_miss_clq14,0.247707,0.670551,0.459129
0.42,50,1299,f_miss_clq14,0.247707,0.670551,0.459129
0.64,50,1349,f_miss_clq14,0.247707,0.670551,0.459129
0.7,50,1399,f_miss_clq14,0.247707,0.670551,0.459129
0.72,50,1449,f_miss_clq14,0.247707,0.670551,0.459129
0.72,50,1499,f_miss_clq14,0.247707,0.670551,0.459129
0.92,50,1549,f_miss_clq14,0.247707,0.670551,0.459129
0.882353,17,1566,f_miss_clq14,0.0965431,0.821715,0.459129
0.36,50,49,f_miss_clq23,0.157532,0.565157,0.361345
0.2,50,99,f_miss_clq23,0.157532,0.565157,0.361345
0.08,50,149,f_miss_clq23,0.157532,0.565157,0.361345
0.38,50,199,f_miss_clq23,0.157532,0.565157,0.361345
0.22,50,249,f_miss_clq23,0.157532,0.565157,0.361345
0.08,50,299,f_miss_clq23,0.157532,0.565157,0.361345
0.24,50,349,f_miss_clq23,0.157532,0.565157,0.361345
0.4,50,399,f_miss_clq23,0.157532,0.565157,0.361345
0.2,50,449,f_miss_clq23,0.157532,0.565157,0.361345
0.02,50,499,f_miss_clq23,0.157532,0.565157,0.361345
0,50,549,f_miss_clq23,0.157532,0.565157,0.361345
0.06,50,599,f_miss_clq23,0.157532,0.565157,0.361345
0.38,50,649,f_miss_clq23,0.157532,0.565157,0.361345
0.36,50,699,f_miss_clq23,0.157532,0.565157,0.361345
